17:06:06:300	edadb700	ETH: 05/15/17-17:06:06 - New job from eu1.ethermine.org:4444
17:06:06:300	edadb700	target: 0x0000000112e0be82 (diff: 4000MH), epoch #123
17:06:06:302	edadb700	ETH - Total Speed: 21.855 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:01
17:06:06:304	edadb700	ETH: GPU0 21.855 Mh/s
17:06:07:863	edadb700	got 248 bytes
17:06:07:863	edadb700	buf: {"id":0,"jsonrpc":"2.0","result":["0x361fe73eb3c9cec816658808de433106a3115be9dc61a7d86fdcc60701631f93","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a0f1"]}

17:06:07:863	edadb700	parse packet: 247
17:06:07:864	edadb700	ETH: job changed
17:06:07:864	edadb700	new buf size: 0
17:06:07:869	edadb700	ETH: 05/15/17-17:06:07 - New job from eu1.ethermine.org:4444
17:06:07:869	edadb700	target: 0x0000000112e0be82 (diff: 4000MH), epoch #123
17:06:07:870	edadb700	ETH - Total Speed: 21.855 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:01
17:06:07:872	edadb700	ETH: GPU0 21.855 Mh/s
17:06:15:150	fdbfa740	GPU0 t=58C fan=46%
17:06:15:150	fdbfa740	em hbt: 0, fm hbt: 18, 
17:06:15:150	fdbfa740	watchdog - thread 0, hb time 145
17:06:15:150	fdbfa740	watchdog - thread 1, hb time 361
17:06:15:203	edadb700	ETH: checking pool connection...
17:06:15:203	edadb700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

17:06:15:285	edadb700	got 248 bytes
17:06:15:285	edadb700	buf: {"id":3,"jsonrpc":"2.0","result":["0x361fe73eb3c9cec816658808de433106a3115be9dc61a7d86fdcc60701631f93","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a0f1"]}

17:06:15:285	edadb700	parse packet: 247
17:06:15:285	edadb700	ETH: job is the same
17:06:15:285	edadb700	new buf size: 0
17:06:25:199	edadb700	send: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x14d81ff", "0x000000000000000000000000000000000000000000000000000000000214d8e2"]}

17:06:25:203	edadb700	ETH: checking pool connection...
17:06:25:203	edadb700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

17:06:25:283	edadb700	got 39 bytes
17:06:25:283	edadb700	buf: {"id":6,"jsonrpc":"2.0","result":true}

17:06:25:283	edadb700	parse packet: 38
17:06:25:283	edadb700	new buf size: 0
17:06:25:366	edadb700	got 248 bytes
17:06:25:366	edadb700	buf: {"id":3,"jsonrpc":"2.0","result":["0x361fe73eb3c9cec816658808de433106a3115be9dc61a7d86fdcc60701631f93","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a0f1"]}

17:06:25:366	edadb700	parse packet: 247
17:06:25:366	edadb700	ETH: job is the same
17:06:25:366	edadb700	new buf size: 0
17:06:35:204	edadb700	ETH: checking pool connection...
17:06:35:205	edadb700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

17:06:35:287	edadb700	got 248 bytes
17:06:35:287	edadb700	buf: {"id":3,"jsonrpc":"2.0","result":["0x361fe73eb3c9cec816658808de433106a3115be9dc61a7d86fdcc60701631f93","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a0f1"]}

17:06:35:287	edadb700	parse packet: 247
17:06:35:287	edadb700	ETH: job is the same
17:06:35:287	edadb700	new buf size: 0
17:06:37:038	edadb700	got 248 bytes
17:06:37:038	edadb700	buf: {"id":0,"jsonrpc":"2.0","result":["0xb8b2ccfdc177017955be7ae157096caa223545d0a82cfd8e55ab4c911ad0e2d3","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a0f2"]}

17:06:37:038	edadb700	parse packet: 247
17:06:37:038	edadb700	ETH: job changed
17:06:37:038	edadb700	new buf size: 0
17:06:37:043	edadb700	ETH: 05/15/17-17:06:37 - New job from eu1.ethermine.org:4444
17:06:37:043	edadb700	target: 0x0000000112e0be82 (diff: 4000MH), epoch #123
17:06:37:045	edadb700	ETH - Total Speed: 21.856 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:01
17:06:37:047	edadb700	ETH: GPU0 21.856 Mh/s
17:06:45:185	fdbfa740	GPU0 t=60C fan=46%
17:06:45:185	fdbfa740	em hbt: 0, fm hbt: 23, 
17:06:45:185	fdbfa740	watchdog - thread 0, hb time 381
17:06:45:185	fdbfa740	watchdog - thread 1, hb time 165
17:06:45:200	edadb700	send: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x14d8264", "0x000000000000000000000000000000000000000000000000000000000214d8e2"]}

17:06:45:206	edadb700	ETH: checking pool connection...
17:06:45:206	edadb700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

17:06:45:282	edadb700	got 39 bytes
17:06:45:282	edadb700	buf: {"id":6,"jsonrpc":"2.0","result":true}

17:06:45:282	edadb700	parse packet: 38
17:06:45:282	edadb700	new buf size: 0
17:06:45:364	edadb700	got 248 bytes
17:06:45:364	edadb700	buf: {"id":3,"jsonrpc":"2.0","result":["0xb8b2ccfdc177017955be7ae157096caa223545d0a82cfd8e55ab4c911ad0e2d3","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a0f2"]}

17:06:45:364	edadb700	parse packet: 247
17:06:45:365	edadb700	ETH: job is the same
17:06:45:365	edadb700	new buf size: 0
17:06:47:162	edadb700	got 248 bytes
17:06:47:163	edadb700	buf: {"id":0,"jsonrpc":"2.0","result":["0x871a1633a9b827523f2118154d2597de548e06df3fac6549b1427e085ee45f30","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a0f3"]}

17:06:47:163	edadb700	parse packet: 247
17:06:47:163	edadb700	ETH: job changed
17:06:47:163	edadb700	new buf size: 0
17:06:47:168	edadb700	ETH: 05/15/17-17:06:47 - New job from eu1.ethermine.org:4444
17:06:47:168	edadb700	target: 0x0000000112e0be82 (diff: 4000MH), epoch #123
17:06:47:170	edadb700	ETH - Total Speed: 21.848 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:02
17:06:47:172	edadb700	ETH: GPU0 21.848 Mh/s
17:06:48:292	edadb700	got 248 bytes
17:06:48:292	edadb700	buf: {"id":0,"jsonrpc":"2.0","result":["0xf9c2bb060bc41e7795095d52d1b12c1c44173551529ad2f34c3599ad6e341ec3","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a0f4"]}

17:06:48:293	edadb700	parse packet: 247
17:06:48:293	edadb700	ETH: job changed
17:06:48:293	edadb700	new buf size: 0
17:06:48:298	edadb700	ETH: 05/15/17-17:06:48 - New job from eu1.ethermine.org:4444
17:06:48:298	edadb700	target: 0x0000000112e0be82 (diff: 4000MH), epoch #123
17:06:48:300	edadb700	ETH - Total Speed: 21.858 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:02
17:06:48:302	edadb700	ETH: GPU0 21.858 Mh/s
17:06:51:537	edadb700	got 248 bytes
17:06:51:537	edadb700	buf: {"id":0,"jsonrpc":"2.0","result":["0x2b8f131b553580d2bd798d4f4b1f80c67592acdcb2f32be74f7db14f884b87b8","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a0f5"]}

17:06:51:537	edadb700	parse packet: 247
17:06:51:537	edadb700	ETH: job changed
17:06:51:538	edadb700	new buf size: 0
17:06:51:543	edadb700	ETH: 05/15/17-17:06:51 - New job from eu1.ethermine.org:4444
17:06:51:543	edadb700	target: 0x0000000112e0be82 (diff: 4000MH), epoch #123
17:06:51:545	edadb700	ETH - Total Speed: 21.851 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:02
17:06:51:547	edadb700	ETH: GPU0 21.851 Mh/s
17:06:55:206	edadb700	ETH: checking pool connection...
17:06:55:206	edadb700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

17:06:55:289	edadb700	got 248 bytes
17:06:55:290	edadb700	buf: {"id":3,"jsonrpc":"2.0","result":["0x2b8f131b553580d2bd798d4f4b1f80c67592acdcb2f32be74f7db14f884b87b8","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a0f5"]}

17:06:55:290	edadb700	parse packet: 247
17:06:55:290	edadb700	ETH: job is the same
17:06:55:290	edadb700	new buf size: 0
17:07:00:709	edadb700	got 248 bytes
17:07:00:709	edadb700	buf: {"id":0,"jsonrpc":"2.0","result":["0x8195702fa6f91a1c789c87d78f491dbbdfc7eef08a1905ede7e1c0c567af196f","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a0f6"]}

17:07:00:709	edadb700	parse packet: 247
17:07:00:709	edadb700	ETH: job changed
17:07:00:709	edadb700	new buf size: 0
17:07:00:715	edadb700	ETH: 05/15/17-17:07:00 - New job from eu1.ethermine.org:4444
17:07:00:715	edadb700	target: 0x0000000112e0be82 (diff: 4000MH), epoch #123
17:07:00:717	edadb700	ETH - Total Speed: 21.859 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:02
17:07:00:719	edadb700	ETH: GPU0 21.859 Mh/s
17:07:05:200	edadb700	send: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x14d87ee", "0x000000000000000000000000000000000000000000000000000000000214d8e2"]}

17:07:05:208	edadb700	ETH: checking pool connection...
