18:39:01:587	761f2700	new buf size: 0
18:39:04:608	761f2700	got 248 bytes
18:39:04:608	761f2700	buf: {"id":0,"jsonrpc":"2.0","result":["0x1f111e9fb43a75c9790ef343a37a4bd5f25a2b2747b86ead64f4c50752282a18","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a262"]}

18:39:04:608	761f2700	parse packet: 247
18:39:04:608	761f2700	ETH: job changed
18:39:04:608	761f2700	new buf size: 0
18:39:04:613	761f2700	ETH: 05/15/17-18:39:04 - New job from eu1.ethermine.org:4444
18:39:04:613	761f2700	target: 0x0000000112e0be82 (diff: 4000MH), epoch #123
18:39:04:615	761f2700	ETH - Total Speed: 21.861 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:02
18:39:04:617	761f2700	ETH: GPU0 21.861 Mh/s
18:39:09:532	761f2700	got 248 bytes
18:39:09:532	761f2700	buf: {"id":0,"jsonrpc":"2.0","result":["0xeffcd5857b2c11b9659e0bce157cc4bbc8da6b2115d33e9b2655852a65e4b5a3","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a263"]}

18:39:09:532	761f2700	parse packet: 247
18:39:09:532	761f2700	ETH: job changed
18:39:09:532	761f2700	new buf size: 0
18:39:09:538	761f2700	ETH: 05/15/17-18:39:09 - New job from eu1.ethermine.org:4444
18:39:09:538	761f2700	target: 0x0000000112e0be82 (diff: 4000MH), epoch #123
18:39:09:540	761f2700	ETH - Total Speed: 21.860 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:02
18:39:09:541	761f2700	ETH: GPU0 21.860 Mh/s
18:39:11:409	86311740	GPU0 t=63C fan=49%
18:39:11:409	86311740	em hbt: 0, fm hbt: 33, 
18:39:11:409	86311740	watchdog - thread 0, hb time 302
18:39:11:409	86311740	watchdog - thread 1, hb time 86
18:39:11:431	761f2700	ETH: checking pool connection...
18:39:11:431	761f2700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

18:39:11:513	761f2700	got 248 bytes
18:39:11:513	761f2700	buf: {"id":3,"jsonrpc":"2.0","result":["0xeffcd5857b2c11b9659e0bce157cc4bbc8da6b2115d33e9b2655852a65e4b5a3","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a263"]}

18:39:11:513	761f2700	parse packet: 247
18:39:11:513	761f2700	ETH: job is the same
18:39:11:513	761f2700	new buf size: 0
18:39:21:423	761f2700	send: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x14d832f", "0x00000000000000000000000000000000000000000000000000000000135400b1"]}

18:39:21:432	761f2700	ETH: checking pool connection...
18:39:21:432	761f2700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

18:39:21:505	761f2700	got 39 bytes
18:39:21:505	761f2700	buf: {"id":6,"jsonrpc":"2.0","result":true}

18:39:21:505	761f2700	parse packet: 38
18:39:21:505	761f2700	new buf size: 0
18:39:21:586	761f2700	got 248 bytes
18:39:21:586	761f2700	buf: {"id":3,"jsonrpc":"2.0","result":["0xeffcd5857b2c11b9659e0bce157cc4bbc8da6b2115d33e9b2655852a65e4b5a3","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a263"]}

18:39:21:586	761f2700	parse packet: 247
18:39:21:586	761f2700	ETH: job is the same
18:39:21:586	761f2700	new buf size: 0
18:39:31:433	761f2700	ETH: checking pool connection...
18:39:31:433	761f2700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

18:39:31:515	761f2700	got 248 bytes
18:39:31:516	761f2700	buf: {"id":3,"jsonrpc":"2.0","result":["0xeffcd5857b2c11b9659e0bce157cc4bbc8da6b2115d33e9b2655852a65e4b5a3","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a263"]}

18:39:31:516	761f2700	parse packet: 247
18:39:31:516	761f2700	ETH: job is the same
18:39:31:516	761f2700	new buf size: 0
18:39:33:239	761f2700	got 248 bytes
18:39:33:239	761f2700	buf: {"id":0,"jsonrpc":"2.0","result":["0xcc5b459616fbf6f957759d42a931b431bb132a4a166964a99a25422ca9ce3d34","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a264"]}

18:39:33:239	761f2700	parse packet: 247
18:39:33:239	761f2700	ETH: job changed
18:39:33:239	761f2700	new buf size: 0
18:39:33:245	761f2700	ETH: 05/15/17-18:39:33 - New job from eu1.ethermine.org:4444
18:39:33:245	761f2700	target: 0x0000000112e0be82 (diff: 4000MH), epoch #123
18:39:33:246	761f2700	ETH - Total Speed: 21.860 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:02
18:39:33:248	761f2700	ETH: GPU0 21.860 Mh/s
18:39:41:424	761f2700	send: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x14d7c76", "0x00000000000000000000000000000000000000000000000000000000135400b1"]}

18:39:41:435	761f2700	ETH: checking pool connection...
18:39:41:435	761f2700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

18:39:41:444	86311740	GPU0 t=64C fan=49%
18:39:41:444	86311740	em hbt: 0, fm hbt: 39, 
18:39:41:444	86311740	watchdog - thread 0, hb time 86
18:39:41:444	86311740	watchdog - thread 1, hb time 302
18:39:41:506	761f2700	got 39 bytes
18:39:41:506	761f2700	buf: {"id":6,"jsonrpc":"2.0","result":true}

18:39:41:506	761f2700	parse packet: 38
18:39:41:506	761f2700	new buf size: 0
